input_text,target_text
generate description: Chuggington Interactive Wash and Fuel Set with Brewster Train Toy,"Product Description The Chuggington Interactive Railway brings your favourite engines to life via SmartTalk(tm) technology! The Wash and Fuel Set features 33 total pieces, including an Interactive Brewster engine, a Chug Wash and Fuel Depot.As with all Chuggington Interactive engines, Brewster actually recognizes and reacts with other Chuggington Interactive engines and train stops! This set features over 175 sounds and phrases when used with other Chuggington Interactive products...the more pieces you add, the more interactive your world becomes! Chuggington Interactive is a magical open ended play system featuring iconic destinations and characters from the BBC's CBeebies top rated preschool show Chuggington. Box Contains 33 total piece Wash and Fuel Set"
generate description: Kumoyuni 74-0 Shonan Color (Model Train),Japanese toys
generate description: Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,Suitable for the following scale(s): OO Scale
generate description: Preiser 30495 Horse Drawn Wedding Coach (Closed),Suitable for the following scale(s): HO Scale
generate description: Preiser 30414 Horse Drawn Liquid Manure Wagon,Suitable for the following scale(s): HO Scale
generate description: Bachmann Class A2 60534 'Irish Elegance' BR Lined Green Early Emblem,Suitable for the following scale(s): OO Scale
generate description: Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),Batteries sold separately: C x 1Rail is NOT included.
generate description: Roco 64723 OBB Railjet Economy Coach V,Suitable for the following scale(s): HO Scale
generate description: Learning Curve Chuggington Interactive Brewster,"Product Description An amazingly Interactive Chuggington World. Each Chuggington friend talks, reacts and interacts realistically with the Chuggington Interactive World. Each smart engine recognizes any other engine, reacts to any train stop and responds to your play. Engines recognise and ""magically"" talk to each other, trainig stops and set accessories.Brewster is a solid diesel-electric train built for heavy loads. He doesn’t always understand his own strength, which can make him a bit awkward and clumsy. He is very dependable and can always be relied on in a crisis--a tower of strength. Box Contains 1 x Interactive Brewster engine"
generate description: Plarail - AS-07 Shinkansen Series 700 (Model Train),Batteries sold separately: AAA x 1
generate description: Thomas and Friends Take-n-Play Molly,"Product Description Take-n-Play Molly is a durable diecast engine that features ""Smart Magnets"" that connect either way, and allow you to connect other engines or tender at either the front or the back. It works with Fisher-Price Take-n-Play portable playsets. Box Contains 1 x Take-n-Play Molly"
generate description: Hornby R2981 London 2012 1948 Games 00 Gauge Limited Edition Train Pack,"Product Description 1948 was a year full of hope and anticipation. The Second World War had been over for three years and although there was still a feeling of austerity in Britain, London was chosen to host the 14th modern Olympic Games, some 40 years after the city hosted the Games for the first time.This London 1948 train pack, limited to just 1,948 features an exLNER Class N2 locomotive in the then newly applied nationalised British Railways livery, while the coaches show their heritage as LNER, still unpainted but with BR numbering applied. Box Contains BR Class N2 locomotiveBR (exLNER) Composite coachBR (exLNER) 3rd Brake coachNumbered limited edition certificate"
generate description: Gaugemaster HBYS Hornby Type Colour Light Signal for 12v DC,Suitable for the following scale(s): OO Scalecan be used with 16v AC~ with a GM74 diode.
generate description: Hornby R3246TTS LNER 2-8-2 'Cock O' The North' P2 Class with TTS Sound,Suitable for the following scale(s): OO Scale
generate description: Thomas and Friends Take-n-Play Elizabeth,"Product Description Take-n-Play Elizabeth is a durable diecast vehicle from Thomas and Friends. It works with Fisher-Price Take-n-Play portable playsets. Elizabeth is a beautifully restored vintage steam wagon who, like all trucks on the island, believes that roads are much better than rails. She tends to wear a scowl and will be quick to correct the engines who comment on her age by exclaiming ""I'm not old--I'm vintage."" She has no patience for dawdlers. If you are here, you'd better be here to work."
generate description: Faller 140322,Suitable for the following scale(s): HO ScaleEra IV
generate description: Topro LED Flashing Neon Sensory Maracas Light Up Maracas Toy,"Ease and ready to us,They will float on the water"
generate description: Bachmann 32-882 Fairburn 2-6-4 Tank 42062 BR Lined Black Late Crest,Suitable for the following scale(s): OO ScaleDetails:DCC Type: 8 Pin DCC ReadyLivery: BR Black L/CrestClass: FairburnEra: 5 (1957 - 1966)Purpose: FreightWheel Configuration: 2-6-4Finish: Pristine
generate description: Alps Glacier Express (Add-On 4-Car Set) (Model Train),Suitable for the following scale(s): N Scale
generate description: Hornby Gloucester City Pullman Train Set,"Product Description Hornby R1177 ""00"" Scale Gloucester City Pullman Train Set Box Contains 1x Duke of gloucester train, 3 Cars, oval of track, wall plug transformer, power track, train controller and MidiMat"
generate description: Dapol Model Railway Stanier 57ft Non-Corridor Coach - OO Gauge Plastic Kit,"Dapol OO Gauge Stanier 57ft non corridor coach in BR Carmine Red Livery, unlined. Plastic model kit. Manufacturers Description: William Stanier (1876-1965) was headhunted from the GWR to become Chief Mechanical Engineer of London, Midland and Scottish (LMS) Railways in 1932. With the support of the Chairman, Sir Josiah Stamp, Stanier is credited with modernising the LMS fleet of generally small steam locomotives with a larger, modern and more powerful array of designs. Soon after his appointment, Stanier also focused on refurbishing and standardising the Coach stock of the LMS and developed the Period III LMS coaches which later became known as Stanier Coaches. These designs were extremely popular and successful and many were still in service in the mid 1960s. There are many examples of Period III coaches operating on Heritage Railways throughout the UK today. The Dapol OO Model of the Stanier Coach is derived from refurbished Airfix/Mainline tooling originally purchased by Dapol in the 1980s. There are some compromises on detail accuracy due to the condition and usability of the 40+ year old tooling. However, we feel the model captures the essence of the Period III coach design well and offers an extremely affordable way of building up a fleet of pre or post nationalised fleet of LMS coaches. Dapol have strived to ensure livery and colour details have been captured and are comparable to the originals, including the roof level gold lines. The Kit comes complete with decorated body, all that is required is painting of the roof and other components and assembly. PLEASE NOTE THAT THIS ITEM IS NOT A TOY AND IS INTENDED FOR MODEL RAILWAY ENTHUSIASTS."
generate description: Faller 140428,"Suitable for the following scale(s): HO ScaleFaithful reproduction of the attraction built by Dutch manufacturer Mondial. After visitors have got on, the powerful supporting beam rises, then rotates, which causes the gondola arms arranged in a garland to rotate in the opposite direction, while their rows of seats additionally overturn several times. Fitted with two motors, control unit for the program sequence and lighting elements. Ready for connection to operate on 16 V AC."
generate description: Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,"Product Description The LNER Class A3 Pacific locomotive No. 4472 Flying Scotsman (originally No. 1472) was built in 1923 for the London and North Eastern Railway (LNER) at Doncaster Works to a design of H.N. Gresley. It was employed on long-distance express trains on the LNER and its successors, British Railways Eastern and North-Eastern Regions, notably on the 10am London to Edinburgh Flying Scotsman service after which it was named. In its career 4472 Flying Scotsman has covered more than 2,000,000 miles (3,200,000 km).Young or old, keen modeller or just a beginner, the Hornby RailRoad range answers the needs of many and is a perfect complement to the variety of locomotives, rolling stock, track, buildings, and accessories that can be found in the current Hornby catalogue. Devoid of easily damaged detail parts the suitably livered RailRoad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running. All the RailRoad models are fitted with the standard Hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard Hornby and Thomas & Friends ranges. With this in mind it is easy to see that those models that make up the Hornby RailRoad range are a simple and cost effective way of adding to a train set providing a suitable and most appropriate stepping stone into the varied and fascinating World of model railways.The introductory range offers not only a selection of individual locomotives, rolling stock and accessories but an assortment of train and wagon packs ideally suited for either train set rolling stock enhancements or for those who wish to experiment and try their hands at developing their modelling techniques!This DCC Ready locomotive is compatible with analogue train layouts, but can easily be converted for use on a DCC (digital) layout. This loco is 'DCC Ready', meaning they feature a special socket ready to receive a DCC Decoder. To convert this locomotive for use on a DCC layout one of the following digital decoder chips are required; R8245 Sapphire Decoder or R8249 V1 3 NMRA Loco Decoder. Once this decoder is fitted it is ready to use on a DCC layout. Box Contains 1 x locomotive"
generate description: Ratio 271 Pratt Truss Signal Gantry Kit to span two tracks,Suitable for the following scale(s): N ScaleCan be extended. Signals not included
generate description: Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),Japanese toys
"generate description: TRIX T23469 H0 Luggage wagon of K.BAY.STS.instance, Luggage van",Suitable for the following scale(s): HO Scale2009 New Item.
generate description: Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,"Dapol OO Gauge Stanier 57ft non corridor brake coach in BR Carmine Red Livery, unlined. Plastic model kit. Manufacturers Description: William Stanier (1876-1965) was headhunted from the GWR to become Chief Mechanical Engineer of London, Midland and Scottish (LMS) Railways in 1932. With the support of the Chairman, Sir Josiah Stamp, Stanier is credited with modernising the LMS fleet of generally small steam locomotives with a larger, modern and more powerful array of designs. Soon after his appointment, Stanier also focused on refurbishing and standardising the Coach stock of the LMS and developed the Period III LMS coaches which later became known as Stanier Coaches. These designs were extremely popular and successful and many were still in service in the mid 1960's. There are many examples of Period III coaches operating on Heritage Railways throughout the UK today. The Dapol OO Model of the Stanier Coach is derived from refurbished Airfix/Mainline tooling originally purchased by Dapol in the 1980's. There are some compromises on detail accuracy due to the condition and usability of the 40+ year old tooling. However, we feel the model captures the essence of the Period III coach design well and offers an extremely affordable way of building up a fleet of pre or post nationalised fleet of LMS coaches. Dapol have strived to ensure livery and colour details have been captured and are comparable to the originals, including the roof level gold lines. The Kit comes complete with decorated body, all that is required is painting of the roof and other components and assembly. PLEASE NOTE THAT THIS ITEM IS NOT A TOY AND IS INTENDED FOR MODEL RAILWAY ENTHUSIASTS."
generate description: S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import),EF66 is a direct current electric locomotive manufacturing was started from 1968. I have updated the image of the new coating machine which appeared from 2004 in this product. It is not attached Age rail: 3 years old or older use battery: 1 AA batteries 2 x (sold separately)
generate description: Power Trains Freight Military (Pack of 4),"Product Description 4 collectible cars that are perfect for any POWER TRAINS collection! Completely compatible, works on all track and with all engines! Box Contains 4 collectible carriages"
generate description: Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set,"Product Description Hornby R1138 GWR Passenger Freight OO Gauge Electric Train Set Versatile freight transport The versatile GWR 0-4-0 locomotive makes easy work of hauling the two open wagons and the small coach around the oval of track. The circuit includes an additional siding, providing an area where selected wagons can be deposited and collected again as the train travels the circuit. GWR Passenger Freight The train includes a 0-4-0 locomotive, two wagons and a four-wheel coach. It is operated using the R8250 train controller provided. Why choose a Hornby Analogue train set? Hornby's analogue sets represent the classic origins of Hornby's world famous model trains. In addition to track, a controller and an exquisitely detailed locomotive with carriages every Hornby set includes a Midimat (a pictorial bird's eye view of a fully sceniced layout) providing the new set owner the opportunity of seeing how by the addition of Hornby Track and Building packs a superb layout can be created. Track The track circuit sits easily on the 1600 x 1180 mm MiniMat, and by adding Hornby track and accessory packs can soon be developed into a very effective model railway layout. Extend your set in easy steps by adding track packs and TrakMat accessory packs all the way to the full layout pictured on your MidiMat. Fill out your MidiMat with additional track and building packs The track circuit in this set can be extended to fully complete the included MidiMat which, with additional Hornby Track and Building packs, can be simply and quickly built up into a truly fascinating and effective model railway layout. Additional track packs include R8221 Track Pack A, R8222 Track Pack B, R8223 Track Pack C, R8224 Track Pack D, R8225 Track Pack E, and R8226 Track Pack F. Additional building packs include R8227 Building Pack A, R8228 Building Pack B, R8229 Building Pack C, R8230 Building Pack D, and R8231 Building Pack E. Box Contains 1 x 0-4-0 locomotive1 x LWB open wagon1 x 4-wheel coach1 x 21 steel-sided wagon1 x UK transformer1 x Train controller1 x Buffer stop1 x Track LHPoint2 x Straight tracks2 x Double straight tracks1 x 2nd radius curve track8 x 3rd radius double curve tracks1 x Power track1 x Vacpipe acc bag1 x 0-4-0 locomotive instruction leaflet1 x Controller instruction leaflet1 x Trakmat (1600 x 1180 mm)"
generate description: WD Austerity 2-8-0 90448 BR Black Late Crest (DCC,Suitable for the following scale(s): OO ScaleEra 5. DCC Fitted.
"generate description: KATO 70148015 N Portram TLR 601 Portram, grün",Suitable for the following scale(s): N Scale
generate description: I/G (2) Oldtime Lanterns Working,Working illuminated lamps. 188 mm high 14-16 volt finely detailed in weatherproof plastic. Scale: G
generate description: Piko 53366 KSStEB 1st/2nd Class Coach I,Suitable for the following scale(s): HO Scale
generate description: Hornby Digital 15 V 4 Amp Transformer,"Product Description Hornby 15V 4 Amp transformer. Replacement transformer suitable for: Scalextric C7042: advanced 6 car powerbase, Scalextric C7056: 4 car powerbase or digital conversion kit, Hornby R8213: select controller, Hornby R8214: elite controller. Box Contains 1x Transformer"
generate description: Faller 140431,Faller 140431 - EAN 4104090004316 - Faller 140431 - scale H0 1:87
generate description: Harry Potter - Diecast Hogwarts Express Train,"Manufacturer's Description Hogwarts Express from The Chamber Of SecretsThe Hogwarts Express departs from platform 9¾ at King's Cross station, carrying students to Hogsmeade where they are then taken to Hogwarts School of Witchcraft and Wizardry for the start of each new school term."
generate description: Bachmann 31-169 L&YR 2-4-2 Tank 50795 BR Lined Black Early Emblem,Suitable for the following scale(s): OO Scale
generate description: Kato 8002 Koki 10000 Freight Wagon,Suitable for the following scale(s): N Scale
generate description: Gaugemaster Single Track Controller/ Plug in Transformer,Gaugemaster Single Track Controller/ Plug in Transformer
generate description: Model Railway 'OO' / 'HO' Scale C83 Battle Of Britain Class 257 Squadron Locomotive Plastic Kit,"Dapol OO Gauge 1:76 Scale Plastic Model Kit - Battle of Britain Class Steam Locomotive - ""257 Squadron""Manufacturers Description: OO Gauge Battle of Britain Class 257 Squadron. Kit will require assembly, painting and supplied transfers applying. Please note model shown is 92 Squadron, but is identical except for decals. PLEASE NOTE THAT THIS IS A PLASTIC MODEL KIT AND IS SUPPLIED UNASSEMBLED AND UNPAINTED. PAINT AND GLUE NOT INCLUDED."
generate description: Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound),Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound) - This item is intended for modelling use and is NOT a toy - Scale - 1:87
generate description: Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,Product Description Hornby Railroad '00' Gauge R3284TTS LNER Class A1 'Flying Scotsman' with TTS Sound Steam Locomotive Box Contains 1 x Railroad Steam Sound Locomotive
generate description: Piko 57013 myTrain Diesel Locomotive,Suitable for the following scale(s): HO Scale
generate description: Train Tech DS6 One Touch DCC Signal Dual Home (R/G),Suitable for the following scale(s): OO Scale
generate description: Kato 10-847 E259 Narita Express 3 Car Powered Set,Suitable for the following scale(s): N Scale
generate description: Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,"Product Description The BR 0-4-0ST loco in the famous 'Smokey Joe' livery.Young or old, keen modeller or just a beginner, the Hornby RailRoad range answers the needs of many and is a perfect complement to the variety of locomotives, rolling stock, track, buildings, and accessories that can be found in the current Hornby catalogue. Devoid of easily damaged detail parts the suitably livered RailRoad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running. All the RailRoad models are fitted with the standard Hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard Hornby and Thomas & Friends ranges. With this in mind it is easy to see that those models that make up the Hornby RailRoad range are a simple and cost effective way of adding to a train set providing a suitable and most appropriate stepping stone into the varied and fascinating World of model railways.The introductory range offers not only a selection of individual locomotives, rolling stock and accessories but an assortment of train and wagon packs ideally suited for either train set rolling stock enhancements or for those who wish to experiment and try their hands at developing their modelling techniques!This locomotive is suitable with analogue train layouts only and is not DCC compatible. Box Contains 1 x locomotive"
generate description: Hornby Pennine Express Train Set,LOVELY TRADITIONAL LAYOUT
generate description: Hornby - Uncoupling Ramp,"Product Description Hornby Spring-loaded ramp clips into straight track at the position you choose, and automatically lifts couplings when the train is halted over the ramp. Set includes a marker post to help you align the coupling with the ramp underneath.Warning this product is not suitable for children under 3 years. It contains small parts which can present a choking hazard and some components have functional sharp points and edges. Handle with care. Box Contains 1x Uncoupling Ramp"
generate description: Roco 10908 Seuthe Smoke Oil,Suitable for the following scale(s): / Scale
generate description: Subway train 500 form three-car basic set red gauge N 10-1134 Marunouchi Line,"Corporation representing the subway era, it will reproduce the appearance of the heyday of the Marunouchi Line 500 form, in 1985's. the world by storm was, red white band worked contrast to the body, decorative band of sine curve. Accurately reproduce the nostalgic design. So that customers can enjoy with ease, and divided into three both basic set and a three-car hematopoiesis set. Subway finest cars are revitalized at hand. Three-car compact organization of, the running, the exhibition, either to perfect. To 6-car train of exactly the real thing together. The top car of the basic set of head / tail lights and front destination display ""Ikebukuro"" lights. ""Ogikubo"" is included for the destination display exchange. For all vehicles of hematopoiesis set also of the top car, it is also ideal for the collection and exhibitions. (Head / tail lights non-lighting, motor vehicles are not included). Adopt proven flywheel power unit. You can enjoy a stable nimble running. The intermediate connecting part, as standard body-mounted KATO coupler Mitsuren form. Achieve a smooth running and feeling ligation surface. Package paper box of the four-car type. Special binding dedicated package of who designed the underground tunnels and distinctive red body. (From Amazon.co.jp)"
generate description: Dapol B800 Motorised Track Cleaning Wagon,Suitable for the following scale(s): HO Scale OO Scale
generate description: Hornby R1174 Breakdown Hauler Train Set,"Rescue stranded trains with the Hornby Breakdown Hauler. This fantastic set comes with a 0-4-0 steam engine, breakdown crane and a utility van. Lay down the Hornby mat and piece together the oval track. Then power it with the transformer and watch the train chug along the rails. Great for youngsters and enthusiasts alike, this detailed set includes: 0-4-0 Locomotive Breakdown crane Support van 3rd Radius starter oval with track pack A P9200 Wall transformer R8250 Train controller 155cm by 113cm Power track Hornby MidiMat Suitable for rail lovers aged six and up."
generate description: Power Trains Auto Loader City,Power City Trains Auto Loader City
generate description: [NEW] Pureoroko C-58 water steam [NEW],"Product introduction Put the water in the bottle, if the switch to ON, from the chimney, steam comes out like smoke. The travels while moving to the real piston, it changes direction and hits an obstacle, it continues to run. By turning to after the lever on the front wheel, you can also play with the roll. [] Use battery: 3 single 2 x (sold separately) Product Description mystery traveling (traveling rolled reshuffling)! The mystery travel, and that it travels back to the run freely, and hits the walls. Kemudashi! Put the water in the bottle of the body under, issue the water vapor. It's based on the idea to eject the smoke at the same time as the whistle sound. flashing lights at the same time as the whistle! Three use C battery (battery not included) Product size: [Product Specifications] power 334mm x 164mm x 105mm"
generate description: Train Tech SK2 Home Signal Kit with R/G LEDs,Suitable for the following scale(s): OO Scale
generate description: Kato 11-105 Small Type Moter Unit (for Bandai's B-train Shorty),Suitable for the following scale(s): N Scale
generate description: Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution,Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution
generate description: Piko 59497,Suitable for the following scale(s): HO Scale
"generate description: Dapol Model Railway ""City of Truro"" Plastic Kit - OO Scale 1/76","Dapol OO/HO 1:76 Plastic Model Kit - ""City of Truro"" City of Truro was the first steam loco to reach 100mph. She is widely recognised as being the fastest thing on the planet in her day. PLEASE NOTE THAT THIS IS A PLASTIC MODEL KIT AND IS SUPPLIED UNASSEMBLED AND UNPAINTED. PAINT AND GLUE NOT INCLUDED. MOTOR NOT INCLUDED."
generate description: Ratio 575 Permanent Way Set (4 Wagons),Suitable for the following scale(s): OO Scale2 flat wagons for track & 2 low siders for ballast and equipment. Kit includes rail load.
generate description: Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR,Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR - This item is NOT a toy and is intended for modelling use - Scale - 1:87
generate description: Hornby 00 Gauge 152mm GNR 0-6-2T Steam Locomotive Model,"Product Description Hornby Class N2 DCC Ready 00 Gauge GNR 0-6-2T steam locomotive train model. These spritely suburban passenger locomotives designed by Sir Nigel Gresley were first introduced on to the Great Northern Railway in November 1920. The majority of the class were working out of London, Kings Cross and Moorgate however some would have been seen in the Glasgow area. Only one of the class survives which currently can be seen in the GNR Apple Green livery. Class: N2, designer: sir nigel gresley, entered service: 1920, number built: 107, purpose: suburban passenger, wheel configuration: 0-6-2T, length: 152mm, motor: 5 pole skew wound, DCC ready, livery: GNR, finish: pristine. Box Contains 1x Locomotive Model"
generate description: SalesLa New Charming 4 Piece Wood Christmas Railway Wooden Train with 1 Engine Xmas Ornament Decor Gift Green,"Description: Brand new and high quality. Consists of 1 Engine and 3 ""Carriages"" with Presents and Characters. Engine and Carriages are linked with brass fixings and cannot be separated. This a rocky road train and does not sit flat on a surface-better displayed on fake snow or similar. Lovely charming ornamental display item. Length: 24.5cm Color: As shown in the picture A Special Christmas Present. Note: Due to the difference between different monitors, the picture may not reflect the actual color of the item. We guarantee the style is the same as shown in the pictures. Package Includes: 1 x Wooden Christmas Train Set IN GIFT PACKAGE 1 x Sales La Branded Screen Cleaning CLoth"
generate description: Dapol C102A 57ft Stanier Corridor Brake LMS Maroon Lined 5530 Kit,"Suitable for the following scale(s): OO ScaleThe picture shows a finished model complete with paint, please note that this is an unpainted kit and will require assembly and painting."
generate description: Corgi 1:120 Scale Rail Legends 'Trigo' A3 Class Die Cast Stream Locomotive,"Product Description Trigo entered traffic on the 22nd February 1930 and was allocated to Gateshead engine shed. Originally numbered as LNER 2595, Trigo was the eleventh of twenty-seven A3s to be built as an A3, the other fifty-one were A1s that were later converted to A3s. All the A1 and A3 Class locomotives were named after famous race horses. Trigo was an Irish born race horse who won the Epsom Derby in 1929 making the horse famous and inspiring the LNE R to name one of their new locomotives after him. Trigo is modelled here as British Rail (BR) 60084 in BR blue from the era of June 1949 to August 1952, during this period Trigo pulled a Streamline type tender and was based at the Neville Hill shed in Leeds. Sadly Trigo was withdrawn from service on the 23rd November 1964 and was later sold for scrap in January 1965. Box Contains 1 x die cast locomotive"
generate description: Märklin my world Battery Operated Signal,"Product Description Battery-Operated Signal. Gauge: H0. This battery-operated signal made of sturdy plastic is just right for children. It has a green and a red LED that light up. This color light signal can be switched between the green and red LED lights either by pressing a button or it takes place automatically after 7 seconds. The battery holder is built into the base of the signal. 2 AAA batteries are included with the signal. The signal stands approximately 12 cm / 4-3/4"" high. Since this signal is a toy for children ages 3 and above, is has no influence over the running of trains on the layout! Box Contains 1 x Battery-Operated Signal"
generate description: Bachmann 35-077 Class E4 0-6-2 32556 BR Black Early Emblem,Suitable for the following scale(s): OO Scale
